t[s],CH1,CH2
2.14,-2.6,0.024
2.142,-2.6,0.024
2.144,-2.6,0.024
2.146,-2.6,0.024
2.148,-2.6,0.024
2.15,-2.4,0.016
2.152,-2.6,0.024
2.154,-2.4,0.024
2.156,-2.4,0.024
2.158,-2.4,0.024
2.16,-2.4,0.024
2.162,-2.4,0.024
2.164,-2.4,0.016
2.166,-2.4,0.024
2.168,-2.4,0.024
2.17,-2.4,0.016
2.172,-2.4,0.024
2.174,-2.4,0.024
2.176,-2.4,0.024
2.178,-2.4,0.024
2.18,-2.4,0.024
2.182,-2.4,0.024
2.184,-2.4,0.016
2.186,-2.4,0.024
2.188,-2.4,0.024
2.19,-2.2,0.024
2.192,-2.2,0.016
2.194,-2.4,0.016
2.196,-2.2,0.016
2.198,-2.2,0.024
2.2,-2.2,0.024
2.202,-2.2,0.024
2.204,-2.2,0.024
2.206,-2.2,0.016
2.208,-2.2,0.016
2.21,-2.2,0.016
2.212,-2.2,0.024
2.214,-2.2,0.024
2.216,-2.0,0.024
2.218,-2.0,0.024
2.22,-2.2,0.024
2.222,-2.2,0.024
2.224,-2.0,0.024
2.226,-2.2,0.024
2.228,-2.2,0.024
2.23,-2.2,0.024
2.232,-2.2,0.016
2.234,-2.0,0.024
2.236,-2.0,0.024
2.238,-2.0,0.024
2.24,-2.0,0.024
2.242,-2.0,0.024
2.244,-2.0,0.024
2.246,-2.0,0.024
2.248,-2.0,0.016
2.25,-2.0,0.024
2.252,-2.0,0.024
2.254,-2.0,0.024
2.256,-2.0,0.024
2.258,-2.0,0.024
2.26,-2.0,0.024
2.262,-2.0,0.024
2.264,-2.0,0.024
2.266,-2.0,0.024
2.268,-2.0,0.024
2.27,-2.0,0.024
2.272,-1.8,0.024
2.274,-1.8,0.016
2.276,-1.8,0.024
2.278,-1.8,0.024
2.28,-1.8,0.024
2.282,-1.8,0.024
2.284,-1.8,0.024
2.286,-1.8,0.024
2.288,-1.6,0.024
2.29,-1.8,0.024
2.292,-1.8,0.024
2.294,-1.8,0.016
2.296,-1.6,0.024
2.298,-1.6,0.024
2.3,-1.8,0.024
2.302,-1.6,0.024
2.304,-1.6,0.024
2.306,-1.6,0.024
2.308,-1.6,0.024
2.31,-1.6,0.024
2.312,-1.6,0.024
2.314,-1.6,0.024
2.316,-1.6,0.024
2.318,-1.6,0.032
2.32,-1.6,0.024
2.322,-1.6,0.032
2.324,-1.4,0.032
2.326,-1.6,0.024
2.328,-1.4,0.024
2.33,-1.6,0.024
2.332,-1.6,0.024
2.334,-1.6,0.032
2.336,-1.6,0.032
2.338,-1.4,0.032
2.34,-1.4,0.032
2.342,-1.4,0.032
2.344,-1.4,0.032
2.346,-1.4,0.032
2.348,-1.4,0.032
2.35,-1.4,0.032
2.352,-1.4,0.032
2.354,-1.4,0.024
2.356,-1.4,0.032
2.358,-1.4,0.032
2.36,-1.4,0.032
2.362,-1.4,0.032
2.364,-1.2,0.032
2.366,-1.2,0.032
2.368,-1.2,0.032
2.37,-1.2,0.032
2.372,-1.2,0.032
2.374,-1.2,0.032
2.376,-1.2,0.032
2.378,-1.2,0.032
2.38,-1.2,0.032
2.382,-1.2,0.032
2.384,-1.2,0.032
2.386,-1.2,0.032
2.388,-1.2,0.032
2.39,-1.2,0.032
2.392,-1.2,0.032
2.394,-1.2,0.04
2.396,-1.2,0.032
2.398,-1.2,0.032
2.4,-1.2,0.04
2.402,-1.0,0.04
2.404,-1.2,0.04
2.406,-1.0,0.04
2.408,-1.2,0.04
2.41,-1.2,0.04
2.412,-1.0,0.04
2.414,-1.0,0.04
2.416,-1.0,0.048
2.418,-1.0,0.04
2.42,-1.0,0.048
2.422,-1.0,0.04
2.424,-1.0,0.04
2.426,-1.0,0.04
2.428,-1.0,0.048
2.43,-0.8,0.048
2.432,-0.8,0.048
2.434,-0.8,0.048
2.436,-0.8,0.048
2.438,-1.0,0.048
2.44,-0.8,0.056
2.442,-0.8,0.056
2.444,-0.8,0.056
2.446,-0.8,0.056
2.448,-0.8,0.056
2.45,-0.8,0.056
2.452,-0.8,0.056
2.454,-0.8,0.056
2.456,-0.8,0.056
2.458,-0.8,0.056
2.46,-0.8,0.064
2.462,-0.8,0.064
2.464,-0.6,0.064
2.466,-0.8,0.064
2.468,-0.6,0.064
2.47,-0.6,0.064
2.472,-0.6,0.064
2.474,-0.6,0.072
2.476,-0.6,0.064
2.478,-0.6,0.072
2.48,-0.6,0.072
2.482,-0.6,0.072
2.484,-0.6,0.072
2.486,-0.6,0.072
2.488,-0.6,0.08
2.49,-0.6,0.072
2.492,-0.4,0.08
2.494,-0.4,0.08
2.496,-0.6,0.08
2.498,-0.6,0.08
2.5,-0.6,0.08
2.502,-0.4,0.088
2.504,-0.4,0.08
