t[s],CH1,CH2
2.396,-1.6,0.0
2.398,-1.6,0.0
2.4,-1.6,0.08
2.402,-1.6,0.0
2.404,-1.4,0.0
2.406,-1.6,0.08
2.408,-1.4,0.08
2.41,-1.4,0.0
2.412,-1.6,0.08
2.414,-1.4,0.08
2.416,-1.4,0.0
2.418,-1.4,0.08
2.42,-1.2,0.08
2.422,-1.4,0.08
2.424,-1.4,0.08
2.426,-1.4,0.08
2.428,-1.4,0.0
2.43,-1.2,0.0
2.432,-1.4,0.0
2.434,-1.2,0.08
2.436,-1.2,0.08
2.438,-1.2,0.08
2.44,-1.2,0.0
2.442,-1.2,0.0
2.444,-1.2,0.0
2.446,-1.2,0.0
2.448,-1.2,0.0
2.45,-1.2,0.0
2.452,-1.2,0.08
2.454,-1.2,0.0
2.456,-1.2,0.08
2.458,-1.2,0.08
2.46,-1.2,0.08
2.462,-1.0,0.0
2.464,-1.2,0.08
2.466,-1.2,0.0
2.468,-1.0,0.08
2.47,-1.2,0.0
2.472,-1.0,0.0
2.474,-1.0,0.08
2.476,-1.0,0.0
2.478,-1.0,0.08
2.48,-1.0,0.0
2.482,-1.0,0.0
2.484,-1.0,0.0
2.486,-1.0,0.08
2.488,-1.0,0.0
2.49,-1.0,0.0
2.492,-1.0,0.0
2.494,-0.8,0.0
2.496,-1.0,0.0
2.498,-1.0,0.08
2.5,-0.8,0.0
2.502,-1.0,0.08
2.504,-1.0,0.08
2.506,-1.0,0.0
2.508,-0.8,0.08
2.51,-1.0,0.08
2.512,-0.8,0.08
2.514,-0.8,0.0
2.516,-0.8,0.08
2.518,-0.8,0.08
2.52,-0.8,0.08
2.522,-0.8,0.08
2.524,-0.8,0.08
2.526,-0.8,0.08
2.528,-0.8,0.08
2.53,-0.8,0.0
2.532,-0.8,0.08
2.534,-0.6,0.08
2.536,-0.6,0.08
2.538,-0.6,0.08
2.54,-0.6,0.08
2.542,-0.6,0.08
2.544,-0.6,0.0
2.546,-0.6,0.0
2.548,-0.6,0.08
2.55,-0.6,0.0
2.552,-0.6,0.08
2.554,-0.6,0.0
2.556,-0.4,0.08
2.558,-0.6,0.08
2.56,-0.6,0.0
2.562,-0.4,0.0
2.564,-0.6,0.0
2.566,-0.4,0.08
2.568,-0.4,0.0
2.57,-0.4,0.08
2.572,-0.4,0.0
2.574,-0.4,0.08
2.576,-0.4,0.08
2.578,-0.4,0.08
2.58,-0.4,0.0
2.582,-0.4,0.08
2.584,-0.4,0.08
2.586,-0.4,0.08
2.588,-0.4,0.08
2.59,-0.4,0.0
2.592,-0.4,0.0
2.594,-0.4,0.0
2.596,-0.4,0.0
2.598,-0.4,0.08
2.6,-0.4,0.08
2.602,-0.4,0.08
2.604,-0.4,0.08
2.606,-0.4,0.08
2.608,-0.4,0.08
2.61,-0.2,0.0
2.612,-0.2,0.08
2.614,-0.4,0.08
2.616,-0.2,0.08
2.618,-0.2,0.08
2.62,-0.2,0.08
2.622,-0.2,0.0
2.624,-0.2,0.08
2.626,-0.2,0.08
2.628,-0.2,0.0
2.63,-0.2,0.0
2.632,-0.2,0.0
2.634,-0.2,0.0
2.636,-0.2,0.08
2.638,-0.2,0.08
2.64,-0.2,0.0
2.642,0.0,0.08
2.644,-0.2,0.0
2.646,0.0,0.08
2.648,0.0,0.08
2.65,-0.2,0.08
2.652,0.0,0.08
2.654,0.0,0.0
2.656,0.0,0.08
2.658,0.0,0.08
2.66,0.0,0.08
2.662,0.0,0.08
2.664,0.0,0.08
2.666,0.0,0.08
2.668,0.0,0.0
2.67,0.0,0.08
2.672,0.0,0.08
2.674,0.0,0.08
2.676,0.2,0.08
2.678,0.2,0.08
2.68,0.0,0.0
2.682,0.2,0.08
2.684,0.0,0.08
2.686,0.0,0.0
2.688,0.2,0.08
2.69,0.2,0.08
2.692,0.0,0.08
2.694,0.2,0.08
2.696,0.2,0.08
2.698,0.2,0.08
2.7,0.2,0.08
2.702,0.2,0.08
2.704,0.4,0.08
2.706,0.2,0.08
2.708,0.2,0.08
2.71,0.2,0.08
2.712,0.4,0.08
2.714,0.4,0.08
2.716,0.4,0.08
2.718,0.4,0.08
2.72,0.4,0.08
2.722,0.4,0.08
2.724,0.4,0.08
2.726,0.4,0.08
2.728,0.4,0.08
2.73,0.4,0.08
2.732,0.4,0.08
2.734,0.4,0.16
2.736,0.4,0.08
2.738,0.4,0.08
2.74,0.6,0.08
2.742,0.4,0.08
2.744,0.6,0.08
2.746,0.4,0.08
2.748,0.4,0.08
2.75,0.6,0.08
2.752,0.6,0.08
2.754,0.6,0.08
2.756,0.6,0.08
2.758,0.6,0.08
2.76,0.6,0.08
2.762,0.6,0.08
2.764,0.6,0.08
2.766,0.6,0.08
2.768,0.6,0.08
2.77,0.6,0.08
2.772,0.8,0.08
2.774,0.6,0.08
2.776,0.8,0.08
2.778,0.8,0.08
2.78,0.6,0.08
2.782,0.8,0.08
2.784,0.8,0.08
2.786,0.8,0.08
2.788,0.8,0.08
2.79,0.8,0.08
2.792,0.8,0.16
2.794,0.8,0.08
2.796,0.8,0.08
2.798,0.8,0.08
2.8,0.8,0.08
2.802,0.8,0.08
2.804,0.8,0.08
2.806,1.0,0.08
2.808,0.8,0.08
2.81,1.0,0.08
2.812,0.8,0.08
2.814,0.8,0.08
2.816,0.8,0.08
2.818,1.0,0.08
2.82,1.0,0.08
2.822,1.0,0.08
2.824,1.0,0.08
2.826,1.0,0.08
2.828,1.0,0.08
2.83,1.0,0.16
2.832,1.0,0.16
2.834,1.0,0.08
2.836,1.0,0.08
2.838,1.0,0.08
2.84,1.0,0.08
2.842,1.2,0.08
2.844,1.2,0.08
2.846,1.2,0.08
2.848,1.2,0.16
2.85,1.2,0.08
2.852,1.0,0.16
2.854,1.2,0.16
2.856,1.2,0.08
2.858,1.2,0.16
2.86,1.2,0.08
2.862,1.2,0.16
2.864,1.2,0.16
2.866,1.2,0.16
2.868,1.2,0.16
2.87,1.2,0.08
2.872,1.2,0.08
2.874,1.2,0.16
2.876,1.2,0.08
2.878,1.2,0.16
2.88,1.4,0.08
2.882,1.4,0.16
2.884,1.4,0.16
2.886,1.4,0.16
2.888,1.4,0.16
2.89,1.4,0.16
2.892,1.4,0.16
2.894,1.4,0.24
2.896,1.4,0.16
2.898,1.4,0.24
2.9,1.4,0.16
2.902,1.4,0.24
2.904,1.4,0.16
2.906,1.4,0.16
2.908,1.4,0.24
2.91,1.4,0.24
2.912,1.6,0.24
2.914,1.6,0.24
2.916,1.6,0.24
2.918,1.6,0.24
2.92,1.6,0.24
2.922,1.6,0.24
2.924,1.6,0.24
2.926,1.6,0.24
2.928,1.6,0.24
2.93,1.6,0.24
2.932,1.6,0.24
2.934,1.6,0.32
2.936,1.8,0.24
2.938,1.6,0.32
2.94,1.8,0.24
2.942,1.6,0.32
2.944,1.8,0.24
2.946,1.8,0.24
2.948,1.6,0.32
2.95,1.8,0.24
2.952,1.8,0.24
2.954,1.8,0.32
2.956,1.6,0.32
