t[s],CH1,CH2
1.004,-0.2,0.064
1.006,-0.2,0.072
1.008,-0.2,0.072
1.01,-0.2,0.072
1.012,-0.2,0.064
1.014,-0.2,0.064
1.016,0.0,0.064
1.018,0.0,0.064
1.02,0.0,0.056
1.022,0.0,0.056
1.024,0.0,0.064
1.026,0.0,0.064
1.028,0.0,0.064
1.03,0.0,0.064
1.032,0.0,0.056
1.034,0.0,0.056
1.036,0.0,0.056
1.038,0.0,0.056
1.04,0.0,0.048
1.042,0.0,0.056
1.044,0.0,0.056
1.046,0.2,0.056
1.048,0.0,0.056
1.05,0.0,0.056
1.052,0.0,0.048
1.054,0.2,0.056
1.056,0.0,0.056
1.058,0.2,0.048
1.06,0.2,0.048
1.062,0.2,0.048
1.064,0.2,0.048
1.066,0.2,0.048
1.068,0.2,0.048
1.07,0.2,0.056
1.072,0.2,0.048
1.074,0.4,0.048
1.076,0.2,0.048
1.078,0.2,0.048
1.08,0.4,0.048
1.082,0.4,0.048
1.084,0.2,0.048
1.086,0.4,0.048
1.088,0.2,0.04
1.09,0.4,0.04
1.092,0.4,0.04
1.094,0.4,0.048
1.096,0.4,0.048
1.098,0.4,0.04
1.1,0.4,0.048
1.102,0.4,0.04
1.104,0.4,0.04
1.106,0.4,0.04
1.108,0.4,0.04
1.11,0.4,0.04
1.112,0.4,0.04
1.114,0.6,0.04
1.116,0.6,0.04
1.118,0.6,0.04
1.12,0.4,0.04
1.122,0.6,0.04
1.124,0.6,0.04
1.126,0.6,0.032
1.128,0.6,0.032
1.13,0.6,0.032
1.132,0.6,0.032
1.134,0.6,0.032
1.136,0.6,0.04
1.138,0.6,0.032
1.14,0.6,0.04
1.142,0.6,0.032
1.144,0.6,0.032
1.146,0.6,0.032
1.148,0.8,0.04
1.15,0.6,0.032
1.152,0.6,0.032
1.154,0.8,0.032
1.156,0.8,0.032
1.158,0.8,0.032
1.16,0.6,0.032
1.162,0.8,0.032
1.164,0.8,0.032
1.166,0.8,0.032
1.168,0.8,0.032
1.17,0.8,0.032
1.172,0.8,0.032
1.174,0.8,0.032
1.176,0.8,0.032
1.178,0.8,0.032
1.18,0.8,0.032
1.182,0.8,0.032
1.184,1.0,0.032
1.186,1.0,0.032
1.188,0.8,0.032
1.19,1.0,0.032
1.192,1.0,0.032
1.194,1.0,0.024
1.196,1.0,0.024
1.198,1.0,0.032
1.2,0.8,0.032
1.202,1.0,0.032
1.204,1.0,0.024
1.206,1.0,0.032
1.208,1.0,0.032
